CR_WARRANTOR_IDENTIFIER|CR_WARRANTY_NUMBER|CR_NJ_BUILDERS_REG_NUMBER|CR_WARRANTY_START_DTE|CR_COMUN_CODE|CR_BUILDING_STREET_NAME|CR_BUILDING_STREET_NUMBER|CR_BUILDING_CITY|CR_SALE_PRICE|CR_BUILDING_TYPE|CR_CONSTRUCTION_TYPE|CR_STORIES|CR_OWNER_TYPE|CR_BLOCK_NUMBER|CR_LOT_NUMBER|COMPANY_NAME
NHW|176848|37271|20060317|714|EIGHTH AVENUE UNIT-2|10-12|NEWARK|212500|103|C|2|N|29|18.02|GENDA INDUSTRIES LLC
NHW|176847|37271|20060317|714|EIGHTH AVENUE UNIT-1|10-12|NEWARK|212500|103|C|2|N|29|18.02|GENDA INDUSTRIES LLC
NHW|181313|39050|20061108|507|SURF AVENUE UNIT-100|2218|NORTH WILDWOOD|540000|105|C|3|C|260|1,3,5,7.0|FLAME ASSOCIATES LLC
NHW|182436|35664|20070201|713|WALNUT STREET UNIT-7|119|MONTCLAIR|756500|105|C|3|C|3203|14|WALNUT LOFTS LLC
NHW|183757|39050|20070327|507|SURF AVENUE UNIT-202|2214|NORTH WILDWOOD|380000|105|C|3|C|260|1,3,5, 7.|FLAME ASSOCIATES LLC
NHW|185577|32758|20070830|1329|WOODMERE DRIVE|845|CLIFFWOOD BEACH|341600|101|C|3|N|362|15.02|LYDIA GALLOPO
NHW|188192|22169|20080214|329|ELDER AVENUE|142|BROWNS MILLS|310000|101|C|2|N|34|11|ARCHITECTURAL CHANGE
NHW|188848|28899|20080401|1421|GUNTHERS VIEW|8|MONTVILLE|790000|101|C|2|N|109|30.05|PETER NAGLE BUILDERS LLC
NHW|189896|18281|20080627|614|CHELSEA WAY|1064|VINELAND|195000|101|C|1|N|5004|47.1|QUAIL BUILDING CORPORATION
NHW|200220|29718|20130831|116|NORTH PEMBROKE|119|MARGATE|875000|101|C|2|N|316|3|ANTHONY CHRISTALDI BUILDERS
HBW|NJ120093|45393|20140630|508|CENTRAL 1ST FL|4541|OCEAN CITY|1650000|103|C|0||2|4501|CEDAR LANE DEVELOPMENT LLC
HBW|NJ115911|2708|20120601|1205|NEW BROOK CT|1|PISCATAWAY|200000|101|C|0||012.02|0778|E S K BUILDER INC
NHW|196422|9593|20120113|1608|BELLE AVENUE UNIT-2|22|PATERSON|172000|103|C|2|C|A0011|4|PATERSON HABITAT FOR HUMANITY
NHW|200280|45693|20131112|208|EMERSON STREET|16|CRESSKILL|950000|101|C|2|N|120|35|BELLA VISTA INDUSTRIES LLC
NHW|201795|44098|20140620|1327|SECOND AVENUE|52|MANASQUAN|713000|101|C|2|N|166|6|PAT FARRELL CONSTRUCTION LLC
HBW|NJ115730|41694|20120914|1102|Timberlake Drive|634|Ewing|189990|105|C|0||2,3,4 & 5|225.01|AMERICAN PROPERTIES @ JEFFERSON LLC
HBW|NJ117975|44430|20130612|903|70TH ST UNIT B|323|GUTTENBURG|385000|103|C|0||9|21|GIC BUILT INC
HBW|NJ117977|44430|20130612|903|70TH ST UNIT A|323|GUTTENBURG|325000|103|C|0||9|21|GIC BUILT INC
NHW|201897|46869|20140718|1802|EAST OAK STREET|60|BASKING RIDGE|999999|101|C|2|N|1609|27|VICTOR HENRIQUES
NHW|195085|26575|20100615|1401|HAPGOOD COURT|15|BOONTON|699000|101|C|2|H|113|9.14|MENARD CONSTRUCTION CO INC
HBW|NJ119350|43114|20140214|1213|KERRY ANN COURT|2|MONROE|658900|101|C|0||6.01|18|ENGEL HOMES LLC
HBW|NJ116912|44801|20121214|512|W BROADWAY UNIT 3|717|WEST CAPE MAY|487000|102|C|0||47.01|21|SLM FINANCIAL CORP.
NHW|199147|15700|20121120|2020|BELL DRIVE|39|WESTFIELD|1150000|101|C|2|N|5509|18|ELSHIEKH ENTERPRISES LLC*
NHW|196827|32364|20110515|505|EAST NEW YORK AVENUE|19|VILLAS|275000|101|M|2|N|165|12-13-14|HOPES PLUMBING LLC
NHW|199448|41455|20130315|712|FOX HILL LANE|15|SHORT HILLS|2000000|101|C|2|N|2801|2|DURSO CONSTRUCTION MANAGEMENT INC  *
NHW|201088|43623|20140505|1911|TARRINGTON ROAD BLDG:1 UNIT-112|191|HAMBURG|233900|105|C|4|C|16.29|1CF112|SHOTLAND BAUER LLC
NHW|201168|44581|20140318|1327|LOCKWOOD AVENUE|17|MANASQUAN|2250000|101|C|1|N|150|13|MANGAN DEVELOPMENT GROUP LLC
NHW|200992|47089|20140307|712|WHITE OAK RIDGE ROAD|386|SHORT HILLS|1675000|101|C|3|N|4903|23|ROCCO IOSSA
HBW|NJ116388|45102|20121010|1421|LINDA CT|18|MONTVILLE|598200|101|C|0||30|52.04|HOLIDAY MONTVILLE LLC
NHW|198880|32999|20120910|1205|ALEXANDER STREET|50|EDISON|550000|101|C|2|N|590 M|18.01|KNOCK ON WOOD LLC
