BUILDER_REGNO|COMPANY_NAME|STREET_1|STREET_2|CITY|STATE|ZIP|BUILDER_STATUS|RENEWAL_DATE|PLAN
00001|BARNAM CONSTRUCTION CO|PO BOX 399||BASKING RIDGE|NJ|07920|E|19950430|*
00002|HOMES BY DAVID INC|PO BOX 346||MT FREEDOM|NJ|07970|E|20020430|*
00003|RICHARD D HALL BLDR INC|76 MODEL AV||HOPEWELL|NJ|08525|E|20040430|*
00004|EMERAL HOMES COMPANY|EMARALD HOME COMPANY|4 VIOLET DRIVE|BRIDGETON|NJ|08302|E|19830430|*
00005|ELDAN CONSTRUCTION CORPORATION|3 CENTENNIAL RD||LIVINGSTON|NJ|07039|E|19890430|H
00006|ARDMAER CONSTRUCTION INC|103 GRIGGS DRIVE||BRIDGEWATER|NJ|08807|E|20130430|*
00007|HAVEN HOMES INC|10 PONTAXIT AV||NORTH CAPE MAY|NJ| |E|19810430|H
00008|CASTORINO CONSTRUCTION CORP|163 HAINES DRIVE||MOORESTOWN|NJ| |E|19830430|H
00009|BRADLEY LOREN COMPANY|16 MIDWOOD DRIVE||FLORHAM PARK|NJ| |E|19841031|*
00010|BLUE EAGLE HOMES|2406 NEW RD||NORTHFIELD|NJ| |E|19810430|H
00011|ARENA & YOLMAN ENTERPRISES INC|138 GROVE STREET||ELMWOOD PARK|NJ|07407|E|19910430|H
00012|BARD CONSTRUCTION COMPANY INC|4588 PROVINCELINE RD||PRINCETON|NJ|08540|E|19830430|*
00013|GRATAM REALTY COMPANY INC|2123 RT 33||TRENTON|NJ|08690|E|19850430|H
00014|GREENWAY DEVELOPMENT CO INC|107 SPRING ST||RAMSEY|NJ|07446|E|20110430|*
00015|GREENWAY CONSTRUCTION CO INC|107 SPRING ST||RAMSEY|NJ|07446||20150131|*
00016|GALANTE CONSTRUCTION COMPANY|MICHAEL GALANTE|RD 4 BOX 487|SUSSEX|NJ|07461|E|19810430|H
00017|CAHILL CONSTRUCTION COMPANY INC|612 COUNTY ROUTE 579||HAMPTON|NJ|08827|E|20010430|R
00018|DANIEL C CUMMINGS BUILDER INC|185 PARKER TOWN DRIVE||LITTLE EGG HARBOR|NJ|08087|E|20130430|*
00019|LORI CONSTRUCTION CORP|968 STUYVESANT AVENUE||UNION|NJ|07083|E|19980930|
00020|HAMMERCRAFT INC|PO BOX 1023||PT PLEASANT BEACH|NJ|08742|R|19830430|*
00021|TRIPLE F T/A FASOLINO BROS BUILDERS|163 BURLINGTON PATH STE F||CREAM RIDGE|NJ|08514|E|19990331|
00022|BASSWOOD INC|PO BOX 6343||LAWRENCEVILLE|NJ|08648|E|19830430|H
00023|FORRESTAL VILLAGE INC|HAROLD D SARSHIK|P.O. BOX 778|CHERRY HILL|NJ|08003|E|19850430|H
00024|WEST WINDSOR CONSTRUCTION CO|18 WEST SHORE DRIVE||PENNINGTON|NJ|08534|R|19910731|*
00025|KNIGHTS DEVELOPMENT CORP|62 MANOR DRIVE||BASKING RIDGE|NJ|07920|E|19850430|H
00026|WALTER AMANN|21 ASBURY AVE||LINWOOD|NJ|08221|E|19870430|H
00027|WYNNEWOOD AT WHITING|P.O. BOX 4060||PRINCETON|NJ|08540|E|19810430|H
00028|WILLIAM ASHMAN CONSTRUCTION CO*|81 MOORE AVENUE||WESTVILLE GROVE|NJ|08093|E|20050430|*
00029|AMERICAN ACRES INC|44 SWEETWATER DRIVE||BELLE MEADE|NJ|08502|E|19830430|H
00030|WILLIAM CUMMINGS CUSTOM BUILDERS INC|BOX 92 (THOMAS AVENUE)||WEST CREEK|NJ|08092|E|20120331|*
00031|A W VAN DEN BERG CONSTR CO|28 SURREY PL||HAWTHORNE|NJ|07506|E|19850430|*
00032|RICHARD E SIMON|731 BURNT TAVERN RD||POINT PLEASANT|NJ|08742|E|19961231|*
00033|GREENVIEW ENTERPRISES INC|11 GINESI DRIVE||CLARK|NJ|07066|E|19910430|
00034|BOB MARSHALL INC|PO BOX A||LINDENWOLD|NJ|08021|E|19830430|H
00035|KIMBERLY CONSTRUCTION CO INC|913 BROAD ST||SHREWSBURY|NJ|07701|E|19830430|*
00036|GELLER ASSOCIATES|30 GALESI DRIVE||WAYNE|NJ|07470|E|19930731|H
00037|COUNTRY HIDEWAY HOMES INC|P.O. BOX 462||VERNON|NJ|07462|E|19810430|H
00038|RODAN BUILDERS INC|15 HILTON PLACE||MONTVALE|NJ|07645|E|20070430|*
00039|HOVSONS INC|ONE HOVSONS PLAZA FOURTH FLOOR|4000 ROUTE 66|TINTON FALLS|NJ|08753|E|20050430|R
00040|D ASH LAND CO|5613 HOLLY AVE||HARVEY CEDARS|NJ|08008|E|19950430|
00041|BOB MEYER INC|HIMMELEIN RD||MEDFORD|NJ|08055|E|19870430|H
